Date,BLV,BSV,VCLT,VCSH,VGSH
6/26/2014,0.004241774,0.000622478,0.00166315,0.000374527,0.000164289
6/27/2014,-0.000445175,0.000374038,-0.000665095,0.000497624,0.00016406
6/30/2014,0.00178083,0.000497937,0.000665095,0.000373852,0
07/01/2014,-0.003925826,-0.000374184,-0.004280094,-0.000138372,1.63E-05
07/02/2014,-0.009458426,-0.000997044,-0.009201115,-0.002121064,-0.000821033
07/03/2014,-0.003172778,-0.000999153,-0.001353226,0.000125673,0.000163963
07/07/2014,0.005320701,0.000124983,0.005178918,-0.000374985,-0.000656895
07/08/2014,0.00675058,0.000500037,0.005934076,0.000874407,0.000492932
07/09/2014,0.000559923,0.000748127,0.002898091,0.000624144,0
07/10/2014,0.00055996,0.00049885,-0.001782479,0.000623163,0.001149195
07/11/2014,0.005251285,0.000373566,0.004561251,0,-0.000328162
7/14/2014,-0.003684252,-0.000623343,-0.003112748,-0.000498572,-0.00032827
7/15/2014,-0.000782899,-0.000498859,0.000222774,-0.000249668,-0.0003288
7/16/2014,0.003128434,0.000125392,0.001334875,-0.000124743,0.0003288
7/17/2014,0.00766911,0.000996809,0.008744104,0.000124743,0.000656432
7/18/2014,0.000331991,-0.000623343,-0.003753412,0,-0.000328162
7/21/2014,0.002100905,-0.000498859,0.003643501,-0.000623751,0
7/22/2014,0.001876447,0.00062387,0.001211567,0.000374249,0.000164177
7/23/2014,0.000219396,-0.000125012,0.001539751,0.000873668,0
7/24/2014,-0.005969198,-0.000498859,-0.007280556,-0.001247917,-0.000492447
7/25/2014,0.006741086,0.000125392,0.007390946,0.000499007,0.000164139
7/28/2014,-0.000331112,-0.000374488,-0.000220417,0.000374411,0
7/29/2014,0.002201426,0.000124888,0.001757818,0.000498572,-0.000164139
7/30/2014,-0.011275173,-0.00087417,-0.009149628,-0.001247306,-0.00016446
7/31/2014,-0.004233752,-0.000124983,-0.003327863,0,0.00049273
08/01/2014,0.003622551,0.002273101,0.00467263,0.001760548,0.001460112
08/04/2014,0.002007247,0.000623818,0.00055525,0.000998296,-0.000820183
08/05/2014,0.001335389,-0.000499436,-0.000777477,-0.000374113,0.000983974
08/06/2014,0.001668254,0.000748231,-0.000888664,0.000374113,-0.000983974
08/07/2014,0.006310129,0.000872414,0.002553139,0.001120836,0.000328521
08/08/2014,0.000110171,-0.000373337,0.00099668,0,0.000163798
08/11/2014,0.000110018,0.000248277,-0.000110281,-0.000248433,0.000327864
08/12/2014,-0.005753287,-0.000497727,-0.004996244,-0.000623753,-0.000163744
8/13/2014,0.003987014,0.000497727,0.003887891,0.000997068,0.000491574
8/14/2014,0.006170399,0.00074658,0.004093821,0.000249021,-0.000164039
8/15/2014,0.00755187,-0.00074658,0.006493039,0.000249186,0.000164039
8/18/2014,-0.007221876,-0.000124628,-0.003736631,-0.000623088,-0.000819492
8/19/2014,-0.000549217,0.000124628,-0.002314705,0,0.000327918
8/20/2014,-0.003412866,-0.001121349,-0.001767574,-0.001370335,-0.000984443
8/21/2014,0.004510422,-0.000124653,0.006281733,0,0.000328005
8/22/2014,0.005364036,0.000124653,0.0026334,-0.000499216,-0.000328005
8/25/2014,0.004031197,-0.000747861,0.004591346,0,-0.000328094
8/26/2014,-0.001196561,0.000747861,-0.000873407,0,0.000328094
8/27/2014,0.003151792,0.0001252,0.005227513,0.000873631,0.00049248
8/28/2014,0.005195077,0,0.004334756,0.000248604,0.000164045
8/29/2014,0.002049683,0.000622434,0.001188194,-0.00012487,0.000327918
09/02/2014,-0.012505508,-0.000973279,-0.010515641,-0.000948909,-0.000492036
09/03/2014,0.002514051,0,0.000767727,0.000499995,0
09/04/2014,-0.008770144,0.000124896,-0.006919715,-0.000249686,0.000164118
09/05/2014,-0.001432858,0.00037523,-0.002648957,0.00099846,0.000163725
09/08/2014,-0.000440475,-0.000500126,-0.000663302,-0.000748774,-0.000163725
09/09/2014,-0.002982792,-0.001123642,-0.00210377,-0.001374348,-0.0006568
