Date,JPM,XOM,PG,D,VZ,EQR,NEM,AAPL,BA,JNJ,NKE
4/10/2013,0.013956809,0.009545268,0.002370093,0.00418753,0.00191277,-0.004360514,-0.005952798,-0.000786532,0.01686475,0.00839597,0.006954781
7/10/2013,-0.016077199,-0.004877524,-0.004878614,-0.009203504,0.004025815,0.007005643,0.013711963,0.009724524,-0.004360833,-0.008280406,-0.011151135
8/10/2013,-0.018695269,-0.004550788,0.008948571,-0.000648722,-0.015300605,-0.015592688,-0.030645229,-0.014060512,-0.010770173,-0.011382305,-0.014969963
9/10/2013,-0.002362235,-0.004101091,0.008089852,-0.001624723,0.00325223,0.000766328,0.005676525,0.011679328,-0.008438043,0.004080047,0.00864226
10/10/2013,0.034282487,0.01027998,0.012141668,0.017405945,0.014184267,0.024963412,-0.007576129,0.006247987,0.037970098,0.02095149,0.035339126
11/10/2013,-0.000190389,0.010521096,0.007546522,0.005735139,0.004896816,0.00335653,-0.0261954,0.006453984,-0.007767579,0.018846021,0.000272708
14/10/2013,0.003801459,0.007447899,0.003306988,-0.005415746,-0.005963992,-0.001676812,0.004672876,0.006532898,0.012466332,0.003905352,0.008134479
15/10/2013,-0.007617525,-0.009289906,-0.014583652,-0.013021616,-0.010523029,-0.000186626,0.013889117,0.005307586,-0.010772521,0.001446552,-0.004737411
16/10/2013,0.031796455,0.005973974,0.017278422,0.021926257,0.019878836,0.021220622,-0.008464845,0.004861191,0.018112024,0.013036338,0.010929358
17/10/2013,0.003881238,0.001945229,0.01369196,0.010706976,0.034324942,0.015040388,0.044586241,0.006741996,0.016074157,0.009394623,0.000268072
18/10/2013,0.001658911,0.000799558,-0.000125446,-0.002666084,0.022445496,-0.007039329,-0.005187212,0.008664285,0.001879022,-0.003704218,0.018476033
21/10/2013,-0.000552665,-0.00366163,-0.005556352,-0.000942783,0.011332764,-0.00290176,0.021316902,0.02420926,-0.008606997,-0.00470335,0.002105123
22/10/2013,-0.012049526,0.008561055,0.017697101,0.011409168,0.01101107,0.007600245,0.034313316,-0.002862132,0.008280512,0.01263896,-0.001709923
23/10/2013,-0.016357721,-0.004214266,0.006572371,-0.001866276,-0.006277252,0.001441295,-0.041979457,0.009742881,0.052019648,-0.002818821,-0.005280169
24/10/2013,-0.005131939,0.009203233,-0.00371511,-0.001090462,-0.007901945,-0.03163841,0.013105662,0.013152365,-0.000310098,0.002710686,-0.000661967
25/10/2013,0.005510776,-0.005102777,-0.007595539,0.007762757,0.005735409,0.020050485,0.006488696,-0.011249023,0.016989296,-0.002819785,0.002512908
28/10/2013,-0.001707421,0.002951381,0.016119047,-0.004961429,-0.002764885,-0.009883026,0.008942921,0.007425379,-0.010035705,0.003252602,-0.002512908
29/10/2013,0.000949207,0.007902607,0.014167532,0.005579582,0.010230702,-0.009610094,-0.015431617,-0.025227195,-0.00169519,0.008084971,0.00528354
30/10/2013,-0.00246868,-0.001350003,-0.011465128,-0.010409471,-0.01102178,-0.013084189,0.01400647,0.015784313,0.000154144,-0.003764402,0.002894204
31/10/2013,-0.020357765,0.009078985,-0.00949062,-0.004382134,-0.000395882,-0.014975474,-0.028212,-0.004200519,0.006303297,-0.001941976,-0.004871782
1/11/2013,0.018645193,0.002229003,0.004941417,0.005318792,-0.000396162,0.010260357,-0.048093398,-0.005120897,0.019201553,0.008172819,0.003951457
4/11/2013,-0.00899091,0.02506703,0.002215888,-0.001561442,0.011617706,0.00884544,0.050658129,0.01283954,-0.001806005,-0.003648159,0.004067504
5/11/2013,-0.001730816,-0.001194905,0.00122872,0.009023316,-0.01937179,-0.015293569,0.000731472,-0.002470685,0.005856884,-0.002367425,0.010809347
6/11/2013,0.002883164,0.013282808,0.016805038,0.022358976,0.01012812,0.001901075,0.020626519,-0.002836587,3.74255E-05,0.002474769,-0.005715601
7/11/2013,-0.008674905,-0.006827653,-0.00593459,-0.010504746,-0.008731862,-0.003995762,-0.020626519,-0.016315924,-0.011942487,-0.003768652,-0.01390576
8/11/2013,0.04375304,0.008338167,0.002305413,0.00107078,0.000597787,-0.01440242,0.008011784,0.015623896,0.014943775,0.014565686,0.01858502
11/11/2013,0.002590929,0.002477551,-0.003034591,0.007159642,-0.004792672,-0.000967814,0.000362443,-0.002904723,-0.007217493,0.002548746,0.000518348
12/11/2013,-0.002405655,-0.00312463,0.006542731,-0.003497139,0.003995419,-0.006994208,-0.02199488,0.001847829,-0.001510459,-0.007772241,-0.003765368
13/11/2013,0.003144917,-0.000863564,0.008418489,0.010304673,-0.003395089,0.005056328,0.011790657,0.001191745,0.006327723,-0.002354206,0.012668061
14/11/2013,0.004790916,0.006781096,0.009772655,0.010945484,0.005585696,0.010036907,0.027814779,0.014358997,0.014314776,0.006194768,0.010096378
15/11/2013,0.008602535,0.021752484,0.006148221,0.006836001,0.000795044,-0.013340273,-0.010025024,-0.006019714,0.007301977,0.004991709,0.007348612
18/11/2013,0.0157312,0.001887999,-0.003187348,0.004138542,0.008904943,-0.003118748,-0.027358958,-0.012188618,0.016615669,-0.0009539,-0.008111426
19/11/2013,0.007328828,-0.000314511,-0.002723766,-0.001180734,0.000394178,-0.003324557,0.0113992,0.001772613,-0.010023897,0.005921129,-0.009847432
20/11/2013,-0.000891297,-0.007785442,0.004141103,-0.016226475,-0.007511165,-0.008063747,-0.035731373,-0.00879669,-0.033629751,0.003052384,0.000385425
21/11/2013,0.019768119,0.000105678,-0.000235772,0.001649378,-0.000397274,0.003744871,-0.020287742,0.011851654,0.003617508,0.000525222,0.003206196
22/11/2013,0.004185464,0.003373443,0.003301578,-0.001799711,-0.003181219,0,-0.004651282,-0.002573978,0.022611373,0.007482313,0.009939277
25/11/2013,0.003301127,0.000841688,0.005400009,-0.004061121,-0.004189861,-0.00453531,-0.008191906,0.007551107,-0.022084962,0.003981219,0.003291288
26/11/2013,-0.008360781,-0.008660622,-0.00905582,-0.006805211,0.000799176,0.005714803,-0.032241522,0.018276325,0.013295028,-0.005978307,0.005922012
27/11/2013,0.005407375,-0.004998144,-0.004262572,-0.012982001,-0.002400382,0.021769748,-0.004053543,0.023274391,-0.00044577,-0.000841952,-0.003397964
29/11/2013,-0.004533186,-0.003417146,-0.000712214,-0.002154489,-0.006227937,-0.009077727,0.008493216,0.018348505,-0.003494542,-0.003374806,-0.002397587
2/12/2013,-0.004203422,0.000427924,-0.010503874,-0.009286848,-0.007281852,0.002325781,-0.041107335,-0.008742262,-0.000670682,-0.004022519,-0.000632097
3/12/2013,-0.002107977,0.009259462,0.005862217,0.007436262,0.006878771,0.006751946,-0.010635717,0.02700699,-0.016231271,-0.00329309,0.000505637
4/12/2013,0.005786945,0.002962012,-0.005742279,-0.001511473,-0.004648027,0.017534535,0.02116016,-0.00233348,-0.003794824,-0.003624962,-0.003925549
